country,sic_division,n_segments,scope1_total,scope2_total,scope3_total,scope23_total,scope123_total,share_scope1,share_scope2,share_scope3
JPN,Construction,51,897715.1790161133,637910.482720315,3.027155060538911e7,3.0909461088109426e7,3.180717626712554e7,0.028223667875351487,0.02005555216102696,0.9517207799636216
JPN,Public Administration,11,47438.20048560668,103068.33939771193,599176.7810439956,702245.1204417075,749683.3209273142,0.06327765225846083,0.13748250297235165,0.7992398447691875
JPN,"Finance, Insurance and Real Estate",175,1.753160921925284e6,2.2221984767348506e6,1.013577979781113e7,1.235797827454598e7,1.4111139196471265e7,0.1242395030986366,0.15747831878028315,0.7182821781210802
KOR,Manufacturing,8,4.369778318048859e7,76164.23056872525,7.415624555808361e7,7.423240978865233e7,1.1793019296914092e8,0.37053940199964813,0.0006458416513288953,0.628814756349023
NLD,Manufacturing,7,162741.18969726562,677576.7373488845,2.0116646678587098e7,2.0794223415935982e7,2.0956964605633248e7,0.007765494324188564,0.032331816658541825,0.9599026890172696
NLD,Services,10,109516.8332901001,69617.65020073584,4.128744751739224e6,4.19836240193996e6,4.30787923523006e6,0.02542244740624708,0.016160538956477486,0.9584170136372754
NLD,"Transportation, Communications, Electric, Gas and Sanitary service",10,1.2098096470222473e6,192820.15102231453,5.96697935206347e6,6.159799503085784e6,7.369609150108031e6,0.16416198232229354,0.026164230299715145,0.8096737873779913
NLD,"Finance, Insurance and Real Estate",22,18046.163514971733,272088.75389322324,8.75455940091358e6,9.026648154806802e6,9.044694318321774e6,0.0019952209416758005,0.030082692053180277,0.967922087005144
NOR,Manufacturing,16,1.584232994022131e6,101743.67574840091,3.6067531254449836e6,3.7084968011933845e6,5.292729795215515e6,0.29932247730731215,0.01922328924487595,0.6814542334478119
NOR,Mining,4,302885.5346069336,4388.188279329774,64543.382539579376,68931.57081890915,371817.10542584275,0.8146089305386806,0.011802007533526395,0.17358906192779305
NOR,"Transportation, Communications, Electric, Gas and Sanitary service",8,101551.39852905273,199873.7671049189,1.1708495555240265e6,1.3707233226289453e6,1.472274721157998e6,0.06897584877989268,0.13575847240500796,0.7952656788150994
NOR,Services,4,900.0000061392784,4592.310475635214,698151.0631987423,702743.3736743776,703643.3736805168,0.0012790570334396635,0.006526474415035581,0.9921944685515247
PRT,"Transportation, Communications, Electric, Gas and Sanitary service",8,7.517580998509526e6,2.802723761994046e6,1.4605754584895823e7,1.740847834688987e7,2.4926059345399395e7,0.30159524593674075,0.11244151043519622,0.5859632436280631
