ISO_COUNTRY,SECTOR_CODE,FACTSET_ENTITY_ID,FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,g_S2_EMRIO,g_S23_EMRIO,g_S3_T
AUS,I00090,060D92-E,060D92-E_Logistics_I00090,1674.6048583984375,506.112987209104,5216.514908796804,4710.4019215877
AUS,I00090,060D92-E,060D92-E_Office_I00090,2762.572998046875,834.9277727861777,8605.774206310987,7770.84643352481
AUS,I00090,060D92-E,060D92-E_Retail_I00090,5072.37255859375,1533.2582276996359,15801.064053930357,14267.80582623072
AUS,I00090,Others-I00090-S,Others-I00090-S,-789346.0661764145,405269.016513771,4.205059399771046e6,3.799790383257275e6
AUS,I00091,Others-I00091-S,Others-I00091-S,177572.30859375,202993.65665881668,5.988851446574945e6,5.785857789916128e6
AUS,I00092,05FWGK-E,05FWGK-E_AMP Capital_I00092,4.1387858390808105,356.84427191880997,4950.0394325295365,4593.195160610727
AUS,I00092,05FWGK-E,05FWGK-E_Australian Mature_I00092,2.0308327674865723,370.8135348263736,5143.787909121736,4772.974374295363
AUS,I00092,05FWGK-E,05FWGK-E_Australian Wealth Management_I00092,17.943307876586914,1185.430367124408,16444.279433905856,15258.849066781448
AUS,I00092,05FWGK-E,05FWGK-E_Australian Wealth Protection_I00092,2.3778738975524902,462.16739342474364,6411.00935855556,5948.841965130816
AUS,I00092,Others-I00092-S,Others-I00092-S,179675.46501159668,439041.6976217967,6.116056964664392e6,5.677015267042596e6
AUS,I00093,Others-I00093-S,Others-I00093-S,71139.8203125,2.444068030121823e6,7.016620895629717e6,4.572552865507894e6
AUS,I00094,Others-I00094-S,Others-I00094-S,670066.2757439013,18295.17006998758,7.430167824481782e6,7.411872654411794e6
AUS,I00095,0DHSZD-E,0DHSZD-E_Property Investment_I00095,9664.744140625,34819.437871362345,161878.17447787646,127058.73660651411
AUS,I00095,0DHSZD-E,0DHSZD-E_Property Management and Construction_I00095,1915.3377685546875,6900.4398874463195,32080.6607606119,25180.22087316558
AUS,I00095,Others-I00095-S,Others-I00095-S,275786.937888775,2.5840920086639123e6,1.2118058631078087e7,9.533966622414175e6
AUS,I00096,Others-I00096-S,Others-I00096-S,585696.551085949,2.3467007857232606e6,2.536345437008335e7,2.301675358436009e7
AUS,I00097,Others-I00097-S,Others-I00097-S,173411.91884052753,172488.79385335997,5.460805636107469e6,5.288316842254109e6
AUS,I00098,Others-I00098-S,Others-I00098-S,252819.54597050697,318413.44006561785,8.06915170954756e6,7.750738269481942e6
AUS,I00099,Others-I00099-S,Others-I00099-S,65372.4921875,108993.09403739678,2.892196370641392e6,2.7832032766039954e6
AUS,I00100,Others-I00100-S,Others-I00100-S,303146.84375,9.508586879451858e6,2.2289630665444102e7,1.2781043785992244e7
